"filename", "language", "Python", "Batch", "Markdown", "HTML", "JSON", "JSON with Comments", "XML", "CSV", "pip requirements", "comment", "blank", "total"
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\Md.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 65, 6, 88
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\MusicUtils.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 0, 56, 16, 132
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\Obj2Json.py", "Python", 88, 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 121
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\QuickTimer.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\ScreenInfo.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\ScrollFrame.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 78
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\SkyAudioEncoder.py", "Python", 181, 0, 0, 0, 0, 0, 0, 0, 0, 91, 27, 299
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\PyUtils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\QuestExports\BranchDialogs.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 73
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\QuestExports\Consts.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 69
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\QuestExports\DialogLine.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 72, 13, 134
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\QuestExports\QuestDialogs.py", "Python", 356, 0, 0, 0, 0, 0, 0, 0, 0, 174, 20, 550
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\QuestExports\Scene.py", "Python", 325, 0, 0, 0, 0, 0, 0, 0, 0, 151, 26, 502
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\QuestExports\SceneDictionary.py", "Python", 105, 0, 0, 0, 0, 0, 0, 0, 0, 36, 10, 151
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\QuestExports\SceneTopic.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 0, 54, 19, 145
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\QuestExports\TopicDialogs.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 0, 55, 16, 117
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\QuestExports\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 10, 29
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Release_Notes.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 9
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Sandbox\ActorsTest01.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Sandbox\Comments.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Sandbox\DicT01.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
